ID,average_precisions,p_10_precisions,ndcg_10,ndcg_1000,tbg
401,0.10410767010366224,0.3,0.24655055544758614,0.4504745494091669,1.594787544637468
402,0.20618642219835367,0.3,0.38363315291837646,0.600382500519653,2.50006584518939
403,0.5075373854785619,0.6,0.5302442049991305,0.7407152541425661,3.6200342700357555
404,0.010347264284272158,0.0,0.0,0.1716471607845219,0.009957071414375898
405,0.025999185999186,0.1,0.07336392209936005,0.1469885359536302,0.9491653277465895
406,0.43874643874643876,0.3,0.45749139526970894,0.7638759326451479,2.3427375550181764
407,0.16600709306666886,0.4,0.5036067026046991,0.5200767346918732,2.4598894025106426
408,0.13560326080134638,0.3,0.3570764765963919,0.4616061634347442,4.041726899130044
409,0.1,0.1,0.2890648263178879,0.2890648263178879,0.35688452495076983
410,1.0,0.4,1.0,1.0,1.7447044453979064
411,0.1744432186874919,0.3,0.4440973278132557,0.47146194739394237,1.9732529855266916
412,0.46856177679274114,0.8,0.7162874455029682,0.7359096698923026,6.597503376579316
413,0.08333333333333333,0.0,0.0,0.27023815442731974,0.3193749158740746
414,0.10538173349534224,0.1,0.20210734650054757,0.3435837701909396,0.5517799131828868
415,0.25,0.1,0.3903800499921017,0.3903800499921017,0.46969156485350727
417,0.35425125522575895,0.7,0.7791714369672127,0.731734795720821,3.777774737050592
418,0.260327756760352,0.6,0.727329844310522,0.6179049016633682,4.728710361135352
419,0.575,0.3,0.7495275800817669,0.7495275800817669,1.1776944137328826
420,0.6172370905270221,0.8,0.8603818544462509,0.8863747915536064,4.981830102115084
421,0.018918027899372514,0.0,0.0,0.2856961934403309,0.29014438637957096
422,0.3780011013063583,0.7,0.5559026721867443,0.6631852768909179,7.8624608394976025
424,0.15316323421050554,0.1,0.06362078819895171,0.5917914002754001,2.7517162776923056
425,0.4813990006758684,0.7,0.762416491594312,0.8237490390130816,5.168357031525529
426,0.034210840109765835,0.1,0.07839826897867533,0.176769737905883,2.60330519222184
427,0.09619786408302824,0.2,0.30523488393970116,0.3813604976383834,1.6200340917838587
428,0.10677655677655677,0.1,0.19519002499605084,0.33171818136337183,0.5952348602550002
429,0.7986111111111112,0.4,0.9223260797603763,0.9223260797603763,1.6970283401244413
430,0.6202564102564103,0.4,0.6608397947263839,0.7499200649446184,1.905440807145419
431,0.3154424240462939,0.6,0.606439180544341,0.6812543627539854,3.52095224685049
432,0.0016614844619205905,0.0,0.0,0.06784688214590585,0.05252360812017386
433,0.0048165560471976395,0.0,0.0,0.10902822727880744,0.017066814397711454
434,0.5434782608695652,0.1,0.6131471927654584,0.746877227126485,0.6651802750682103
435,0.03831248804400549,0.0,0.0,0.27550400478640985,0.5953071631522636
436,0.08581550082010386,0.7,0.6777277508780454,0.3095808614371891,4.441187253463627
438,0.11432037307079827,0.1,0.08514311764162098,0.45615603286834167,1.47089416040903
439,0.014578775409169503,0.0,0.0,0.1678765620509409,0.33281363735673425
440,0.5682617814773546,0.5,0.6274092458891772,0.8130701565523031,2.76089618433813
441,0.6496031746031746,0.6,0.7634017248465544,0.7634017248465544,2.4165875455066836
442,0.023023931427012888,0.2,0.13305201013572898,0.19683717792668307,1.3922308743886462
443,0.10536737702555089,0.2,0.17630010660342912,0.42013054110674874,1.3798725843464068
445,0.24444444444444446,0.2,0.41618115554873086,0.41618115554873086,0.870424591437753
446,0.024951269000928554,0.0,0.0,0.2332455458730823,0.37952922411887297
448,0.009280566321488984,0.0,0.0,0.195047320755851,0.025663551244709707
449,0.00743006993006993,0.0,0.0,0.09119500145106615,0.23701693481140912
450,0.23912879145660335,0.4,0.4315420454124844,0.6484675388238916,2.8677395452150236
